                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.50665,                0.56694,                 1.1467,                 0.9779,                0.95939,                0.98149,                0.88883,                0.48197,                0.40892,                 1.0775,             0.00097775,             0.00097775,             0.00097775
                     69,                0.51264,                0.57318,                 1.1526,                0.96451,                 0.9736,                0.98033,                0.89014,                0.49538,                0.38004,                 1.0866,             0.00097362,             0.00097362,             0.00097362
                     70,                0.51413,                0.56014,                 1.1442,                0.96712,                0.97903,                0.98341,                0.89416,                0.46944,                0.36281,                 1.0811,              0.0009695,              0.0009695,              0.0009695
                     71,                 0.5092,                0.55555,                 1.1433,                0.97681,                0.97756,                0.98097,                0.88987,                0.46328,                0.37068,                 1.0458,             0.00096537,             0.00096537,             0.00096537
                     72,                 0.5103,                0.55045,                 1.1348,                 0.9779,                0.94412,                 0.9799,                0.89493,                0.45472,                0.39507,                 1.0455,             0.00096125,             0.00096125,             0.00096125
                     73,                0.50457,                0.54878,                 1.1311,                0.96974,                 0.9683,                0.97383,                0.88748,                0.46019,                0.38601,                 1.0384,             0.00095712,             0.00095712,             0.00095712
                     74,                  0.516,                0.54381,                 1.1372,                0.98263,                0.96844,                 0.9824,                0.89289,                0.45529,                0.39674,                 1.0465,               0.000953,               0.000953,               0.000953
                     75,                0.49974,                 0.5444,                  1.133,                0.97611,                0.98212,                0.98397,                0.89509,                0.44809,                0.33663,                 1.0498,             0.00094887,             0.00094887,             0.00094887
                     76,                0.51661,                0.55647,                 1.1484,                0.97976,                0.98689,                0.98637,                0.89366,                0.47342,                0.36237,                 1.0816,             0.00094475,             0.00094475,             0.00094475
                     77,                0.52081,                0.54095,                 1.1426,                0.98284,                0.97962,                0.98091,                0.88697,                0.46494,                0.37067,                 1.0549,             0.00094062,             0.00094062,             0.00094062
